id,name,lat,lon
1,Alabama,32.318230,-86.902298
2,Alaska,66.160507,-153.369141
4,Arizona,34.048927,-111.093735
5,Arkansas,34.799999,-92.199997
6,California,36.778259,-119.417931
8,Colorado,39.113014,-105.358887
9,Connecticut,41.599998,-72.699997
10,Delaware,39.000000,-75.500000
11,District of Columbia,38.89511,-77.03637
12,Florida,27.994402,-81.760254
13,Georgia,33.247875,-83.441162
15,Hawaii,19.741755,-155.844437
16,Idaho,44.068203,-114.742043
17,Illinois,40.000000,-89.000000
18,Indiana,40.273502,-86.126976
19,Iowa,42.032974,-93.581543
20,Kansas,38.500000,-98.000000
21,Kentucky,37.839333,-84.270020
22,Louisiana,30.391830,-92.329102
23,Maine,45.367584,-68.972168
24,Maryland,39.045753,-76.641273
25,Massachusetts,42.407211,-71.382439
26,Michigan,44.182205,-84.506836
27,Minnesota,46.392410,-94.636230
28,Mississippi,33.000000,-90.000000
29,Missouri,38.573936,-92.603760
30,Montana,46.965260,-109.533691
31,Nebraska,41.500000,-100.000000
32,Nevada,39.876019,-117.224121
33,New Hampshire,44.000000,-71.500000
34,New Jersey,39.833851,-74.871826
35,New Mexico,34.307144,-106.018066
36,New York,43.000000,-75.000000
37,North Carolina,35.782169,-80.793457
38,North Dakota,47.650589,-100.437012
39,Ohio,40.367474,-82.996216
40,Oklahoma,36.084621,-96.921387
41,Oregon,44.000000,-120.500000
42,Pennsylvania,41.203323,-77.194527
44,Rhode Island,41.742325,-71.742332
45,South Carolina,33.836082,-81.163727
46,South Dakota,44.500000,-100.000000
47,Tennessee,35.860119,-86.660156
48,Texas,31.000000,-100.000000
49,Utah,39.419220,-111.950684
50,Vermont,44.000000,-72.699997
51,Virginia,37.926868,-78.024902
53,Washington,47.751076,-120.740135
54,West Virginia,39.000000,-80.500000
55,Wisconsin,44.500000,-89.500000
56,Wyoming,43.075970,-107.290283